keyword_id,keyword,normalized_keyword,topic_cluster,trend_type,report_id,report_publish_date,signal_period_type,signal_period_label,time_granularity,source_scope,priority,confidence,suggested_platforms,query_variants,crawl_goal,risk_flag,notes
KW_0001,发酵赋能,发酵赋能,ingredient_technology,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,high,high,"xiaohongshu|douyin|industry_news","发酵赋能|发酵成分|发酵原料|发酵护肤",trend_discovery,low,"原料创新报告明确列出的一级趋势"
KW_0002,外泌体,外泌体,ingredient_frontier,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,high,high,"xiaohongshu|douyin|industry_news","外泌体|EXOSOMES|exosome|胞外囊泡",trend_discovery,medium,"原料创新报告明确列出的一级趋势"
KW_0003,长寿护肤,长寿护肤,anti_aging_frontier,claim,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,high,high,"xiaohongshu|douyin|industry_news","长寿护肤|长寿因子护肤|longevity skincare|抗衰新机制",trend_discovery,low,"原料创新报告目录可直接支持"
KW_0004,神经美容,神经美容,mechanism_frontier,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,high,high,"xiaohongshu|industry_news","神经美容|neurocosmetics|神经通路护肤",trend_discovery,low,"原料创新报告目录可直接支持"
KW_0005,AI算法驱动活性分子,AI算法驱动活性分子,ingredient_discovery,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,medium,high,"industry_news|xiaohongshu","AI算法驱动|AI活性分子|AI筛选原料|AI原料研发",trend_discovery,low,"偏上游原料研发主题，更适合行业监控"
KW_0006,可持续原料,可持续原料,sustainable_ingredient,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,medium,high,"industry_news|xiaohongshu","可持续原料|绿色原料|升级再造原料|碳捕获原料",trend_discovery,low,"更适合行业/品牌战略层监控"
KW_0007,防晒原料创新,防晒原料创新,sunscreen_innovation,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,high,high,"xiaohongshu|douyin|industry_news","防晒原料创新|新型防晒原料|防晒感官升级|防晒应用创新",trend_discovery,medium,"兼具成分和消费者应用场景"
KW_0008,微生态护肤,微生态护肤,ingredient_technology,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,medium,medium,"xiaohongshu|douyin","微生态护肤|皮肤微生物群|微生态平衡",trend_discovery,low,"从发酵相关章节抽取的二级主题"
KW_0009,后生元,后生元,ingredient_technology,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,medium,medium,"xiaohongshu|industry_news","后生元|postbiotics|发酵代谢产物",trend_discovery,low,"属于发酵赋能的细分词"
KW_0010,皮肤产电菌群,皮肤产电菌群,ingredient_frontier,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,medium,medium,"industry_news|xiaohongshu","皮肤产电菌群|生物电护肤|天然电能护肤",trend_discovery,low,"较前沿，适合做扩展监控"
